VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Diapensia lapponica;L.;fjellpryd;Plantae/Magnoliophyta/Eudicots/Ericales/Diapensiaceae/Diapensia/lapponica;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;A3(c,e)
Didemnum helgolandicum;Michaelsen, 1921;;Animalia/Chordata/Ascidiacea/Enterogona/Didemnidae/Didemnum/helgolandicum;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Didemnum romssae;J .A. Marks, 1996;tromsøsekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Didemnidae/Didemnum/romssae;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Distaplia clavata;(M. Sars, 1851);klubbesekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Clavelinidae/Distaplia/clavata;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Distaplia livida;(M. Sars, 1851);blysekkdyr;Animalia/Chordata/Ascidiacea/Enterogona/Clavelinidae/Distaplia/livida;art;Sekkdyr;Fastlands-Norge med havområder;> 50 %;LC;
Doridoxa walteri;(Krause, 1892);;Animalia/Mollusca/Gastropoda/Nudibranchia/Doridoxidae/Doridoxa/walteri;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Doridunculus echinulatus;G.O. Sars, 1878;;Animalia/Mollusca/Gastropoda/Nudibranchia/Akiodorididae/Doridunculus/echinulatus;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;DD;
Doris nobilis;Odhner, 1907;;Animalia/Mollusca/Gastropoda/Nudibranchia/Dorididae/Doris/nobilis;art;Bløtdyr;Fastlands-Norge med havområder;> 50 %;LC;
Draba cacuminum;E.Ekman;tinderublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/cacuminum;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(ii,iii,iv,v)
Draba crassifolia;Graham;dvergrublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/crassifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(i,ii,iii,iv,v)
Draba lactea;Adams;lapprublom;Plantae/Magnoliophyta/Eudicots/Brassicales/Brassicaceae/Draba/lactea;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
Dyschirius melancholicus;Putzeys, 1866;;Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Dyschirius/melancholicus;art;Biller;Fastlands-Norge med havområder;> 50 %;LC;
Erigeron eriocephalus;J.Vahl;ullbakkestjerne;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Erigeron/eriocephalus;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;"A3(c,e); B2b(ii,iii,iv,v)"
Erigeron humilis;Graham;svartbakkestjerne;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Erigeron/humilis;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
