VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Neottiophilum praeustum;(Meigen, 1826);;Animalia/Arthropoda/Insecta/Diptera/Piophilidae/Neottiophilum/praeustum;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Nereis elitoralis;Eliason, 1962;;Animalia/Annelida/Polychaeta/Phyllodocida/Nereididae/Nereis/elitoralis;art;Leddormer;Fastlands-Norge med havområder;25 - 50 %;LC;
Neria nigricornis;(Zetterstedt, 1838);;Animalia/Arthropoda/Insecta/Diptera/Micropezidae/Neria/nigricornis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Notolopha sibirica;Zaitzev & Maximova, 2000;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Notolopha/sibirica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Ochlerotatus impiger;(Walker, 1848);;Animalia/Arthropoda/Insecta/Diptera/Culicidae/Ochlerotatus/impiger;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Ochlerotatus punctodes;(Dyar, 1922);;Animalia/Arthropoda/Insecta/Diptera/Culicidae/Ochlerotatus/punctodes;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Odontoschisma macounii;(Austin) Underwood;fjellskovlmose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Cephaloziaceae/Odontoschisma/macounii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Oedalea ringdahli;Chvála, 1983;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Oedalea/ringdahli;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Oedipodium griffithianum;(Dicks.) Schwägr.;klubbemose;Plantae/Bryophyta/Oedipodiopsida/Oedipodiales/Oedipodiaceae/Oedipodium/griffithianum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Oleolophozia perssonii;(H. Buch & S.W. Arnell) L. Söderstr., De Roo & Hedd.;kalkflik;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Cephaloziellaceae/Oleolophozia/perssonii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Orcinus orca;(Linnaeus, 1758);spekkhogger;Animalia/Chordata/Mammalia/Cetacea/Delphinidae/Orcinus/orca;art;Pattedyr (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Orthothecium chryseon;(Schwägr.) Schimp.;gullhøstmose;Plantae/Bryophyta/Bryopsida/Hypnales/Plagiotheciaceae/Orthothecium/chryseon;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Orthotrichum rogeri;Brid.;sporebustehette;Plantae/Bryophyta/Bryopsida/Orthotrichales/Orthotrichaceae/Orthotrichum/rogeri;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Osmia maritima;Friese, 1885;strandmurerbie;Animalia/Arthropoda/Insecta/Hymenoptera/Megachilidae/Osmia/maritima;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i,ii)b(iii)
Owenia borealis;Koh, Bhaud & Jirkov, 2003;;Animalia/Annelida/Polychaeta/Sabellida/Oweniidae/Owenia/borealis;art;Leddormer;Fastlands-Norge med havområder;25 - 50 %;LC;
Oxyporus borealis;G.M. Jenssen & Ryvarden;nordkjuke;Fungi/Basidiomycota/Agaricomycetes/Hymenochaetales/Repetobasidiaceae/Oxyporus/borealis;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;LC;
Oxytropis lapponica;(Wahlenb.) Gay;reinmjelt;Plantae/Magnoliophyta/Eudicots/Fabales/Fabaceae/Oxytropis/lapponica;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Papaver radicatum;Rottb.;islandsvalmue;Plantae/Magnoliophyta/Eudicots/Ranunculales/Papaveraceae/Papaver/radicatum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i)b(i,ii,iii,iv,v)
Paraleucobryum enerve;(Thed.) Loeske;fjellnervemose;Plantae/Bryophyta/Bryopsida/Dicranales/Dicranaceae/Paraleucobryum/enerve;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Parapiophila caerulescens;(Zetterstedt, 1847);;Animalia/Arthropoda/Insecta/Diptera/Piophilidae/Parapiophila/caerulescens;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Parapiophila lonchaeoides;(Zetterstedt, 1838);;Animalia/Arthropoda/Insecta/Diptera/Piophilidae/Parapiophila/lonchaeoides;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Parasyrphus groenlandicus;(Nielsen, 1910);brei buskblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Parasyrphus/groenlandicus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(i,ii,iii)
Parasyrphus tarsatus;(Zetterstedt, 1838);fjellbuskblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Parasyrphus/tarsatus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Pardosa trailli;(O. Pickard-Cambridge, 1873);urulveedderkopp;Animalia/Arthropoda/Arachnida/Araneae/Lycosidae/Pardosa/trailli;art;Edderkoppdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Paykullia brevicornis;(Zetterstedt, 1844);;Animalia/Arthropoda/Insecta/Diptera/Rhinophoridae/Paykullia/brevicornis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Pectenia atlantica;(Degel.) P.M.Jørg. et al.;kystblåfiltlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Pannariaceae/Pectenia/atlantica;art;Laver;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Pedicularis lapponica;L.;bleikmyrklegg;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Pedicularis/lapponica;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pedicularis oederi;Vahl ex Hornem.;gullmyrklegg;Plantae/Magnoliophyta/Eudicots/Lamiales/Orobanchaceae/Pedicularis/oederi;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Peltolepis quadrata;(Saut.) Müll.Frib.;mørkleggmose;Plantae/Marchantiophyta/Marchantiopsida/Marchantiales/Cleveaceae/Peltolepis/quadrata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Pertusaria flavocorallina;Coppins & Muhr;gulstiftvortelav;Fungi/Ascomycota/Lecanoromycetes/Pertusariales/Pertusariaceae/Pertusaria/flavocorallina;art;Laver;Fastlands-Norge med havområder;25 - 50 %;CR;D1
Petasites frigidus;(L.) Fr.;fjellpestrot;Plantae/Magnoliophyta/Eudicots/Asterales/Asteraceae/Petasites/frigidus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Phalacrocorax aristotelis;(Linnaeus, 1761);toppskarv;Animalia/Chordata/Aves/Suliformes/Phalacrocoracidae/Phalacrocorax/aristotelis;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Phellodon secretus;Niemelä & Kinnunen;huldresølvpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Phellodon/secretus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a((i))b(ii,iii,iv); C1+2a(i)"
Phippsia algida;(Sol.) R.Br.;snøgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Phippsia/algida;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A3(c,e)
Phippsia concinna;(Th.Fr.) Lindeb.;sprikesnøgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Phippsia/concinna;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i)b(i,ii,iii,iv,v)
Phlebia diffissa;J. Erikss. & Hjortstam;taigavoksskinn;Fungi/Basidiomycota/Agaricomycetes/Polyporales/Meruliaceae/Phlebia/diffissa;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Phocoena phocoena;(Linnaeus, 1758);nise;Animalia/Chordata/Mammalia/Cetacea/Phocoenidae/Phocoena/phocoena;art;Pattedyr (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pholis gunnellus;(Linnaeus, 1758);tangsprell;Animalia/Chordata/Actinopterygii/Perciformes/Pholidae/Pholis/gunnellus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Phronia gracilis;Hackman, 1970;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Phronia/gracilis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1a((i))b(iii)+2a((i))b(iii)
Phronia mutila;Lundstrom, 1911;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Phronia/mutila;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a(i)b(iii)
Phronia prolongata;Salmela;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Phronia/prolongata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Phronia subsilvatica;Hackman, 1970;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Phronia/subsilvatica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(iii)
Phrosinella sannio;(Zetterstedt, 1838);;Animalia/Arthropoda/Insecta/Diptera/Sarcophagidae/Phrosinella/sannio;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Phrynorhombus norvegicus;(Günther, 1862);småvar;Animalia/Chordata/Actinopterygii/Pleuronectiformes/Scophthalmidae/Phrynorhombus/norvegicus;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Phyllodoce caerulea;(L.) Bab.;blålyng;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Phyllodoce/caerulea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pinguicula alpina;L.;fjelltettegras;Plantae/Magnoliophyta/Eudicots/Lamiales/Lentibulariaceae/Pinguicula/alpina;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pinguicula villosa;L.;dvergtettegras;Plantae/Magnoliophyta/Eudicots/Lamiales/Lentibulariaceae/Pinguicula/villosa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Plagiochila punctata;(Taylor) Taylor;småhinnemose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Plagiochilaceae/Plagiochila/punctata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Plagiomnium curvatulum;(Lindb.) Schljakov;fjellfagermose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Plagiomnium/curvatulum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)+4(c)
Platycheirus aeratus;Coquillet, 1900;arktisk fotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/aeratus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Platycheirus groenlandicus;Curran, 1927;isfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/groenlandicus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus hyperboreus;(Staeger, 1845);høynordisk fotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/hyperboreus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus kittilaensis;Dušek & Láska, 1982;brunflekkfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/kittilaensis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus latimanus;(Wahlberg, 1845);fjellskogfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/latimanus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus naso;(Walker, 1849);kjølfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/naso;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus nigrofemoratus;(Kanervo, 1934);lapplandsfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/nigrofemoratus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus subordinatus;(Becker, 1915);tundrafotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/subordinatus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus transfugus;(Zetterstedt, 1838);gulflekket fotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/transfugus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platycheirus varipes;Curran, 1923;fjellfotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Platycheirus/varipes;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platyhypnum alpinum;(Lindb.) Loeske;trinnbekkemose;Plantae/Bryophyta/Bryopsida/Hypnales/Amblystegiaceae/Platyhypnum/alpinum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Platyhypnum molle;(Dicks. ex Hedw.) Loeske;tannbekkemose;Plantae/Bryophyta/Bryopsida/Hypnales/Amblystegiaceae/Platyhypnum/molle;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Platynus mannerheimii;(Dejean, 1828);;Animalia/Arthropoda/Insecta/Coleoptera/Carabidae/Platynus/mannerheimii;art;Biller;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(ii,iii)
Platypalpus hackmani;Chvála, 1972;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Platypalpus/hackmani;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platypalpus laestadianorum;(Frey, 1913);;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Platypalpus/laestadianorum;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platypalpus lapponicus;Frey, 1943;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Platypalpus/lapponicus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Platypalpus longicornioides;Chvála, 1972;;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Platypalpus/longicornioides;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Pleurozia purpurea;Lindb.;purpurmose;Plantae/Marchantiophyta/Jungermanniopsida/Pleuroziales/Pleuroziaceae/Pleurozia/purpurea;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Plutella hyperboreella;Strand, 1902;finnmarkskålmøll;Animalia/Arthropoda/Insecta/Lepidoptera/Plutellidae/Plutella/hyperboreella;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;NT;D2
Pluvialis apricaria;(Linnaeus, 1758);heilo;Animalia/Chordata/Aves/Charadriiformes/Charadriidae/Pluvialis/apricaria;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(b)
Pneumia ussurica;(Wagner, 1994);;Animalia/Arthropoda/Insecta/Diptera/Psychodidae/Pneumia/ussurica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Poa alpigena;(Fr.) Lindm.;seterrapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/alpigena;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Poa flexuosa;Sm.;mykrapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/flexuosa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Poa glauca;Vahl;blårapp;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Poa/glauca;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pohlia atropurpurea;(Wahlenb.) Lindb.;bruntann-nikke;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Pohlia/atropurpurea;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Pohlia crudoides;(Sull. & Lesq.) Broth.;rørnikke;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Pohlia/crudoides;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Pohlia obtusifolia;(Vill. ex Brid.) L.F.Koch;snønikke;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Pohlia/obtusifolia;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Pohlia vexans;(Limpr.) H.Lindb.;gulltann-nikke;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Pohlia/vexans;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Polemonium acutiflorum;Willd.;lappflokk;Plantae/Magnoliophyta/Eudicots/Ericales/Polemoniaceae/Polemonium/acutiflorum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pollachius pollachius;(Linnaeus, 1758);lyr;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Pollachius/pollachius;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Polygonum excelsius;(Karlsson) Uotila;stivtungras;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Polygonaceae/Polygonum/excelsius;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Polysticta stelleri;(Pallas, 1769);stellerand;Animalia/Chordata/Aves/Anseriformes/Anatidae/Polysticta/stelleri;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;C1
Polytrichastrum sexangulare;(Brid.) G.L.Sm.;snøbinnemose;Plantae/Bryophyta/Polytrichopsida/Polytrichales/Polytrichaceae/Polytrichastrum/sexangulare;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Polytrichum hyperboreum;R.Br.;aurbjørnemose;Plantae/Bryophyta/Polytrichopsida/Polytrichales/Polytrichaceae/Polytrichum/hyperboreum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Potentilla arenosa;(Turcz.) Juz.;;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Potentilla/arenosa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(a,c)
Potentilla nivea;L.;snømure;Plantae/Magnoliophyta/Eudicots/Rosales/Rosaceae/Potentilla/nivea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Prasanthus suecicus;(Gottsche) Lindb.;rabbemose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Gymnomitriaceae/Prasanthus/suecicus;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Protaphorura islandica;(Bödvarsson, 1959);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Protaphorura/islandica;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Psammophorura gedanica;Thibaud & Weiner, 1994;;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Psammophorura/gedanica;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;VU;D2
Pseudexechia pectinacea;(Ostroverkhova, 1979);;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Pseudexechia/pectinacea;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1a((i))b(iii)+2a((i))b(iii)
Pseudexechia trilobata;Ostroverkhova, 1979;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Pseudexechia/trilobata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i,ii)b(iii)
Pseudoneuroctena senilis;(Zetterstedt, 1838);;Animalia/Arthropoda/Insecta/Diptera/Dryomyzidae/Pseudoneuroctena/senilis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Pseudorchis straminea;(Fernald) Soják;fjellhvitkurle;Plantae/Magnoliophyta/Monocots/Asparagales/Orchidaceae/Pseudorchis/straminea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pseudotricholoma metapodium;(Fr.) Sánchez-García & Matheny;grå narremusserong;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Tricholomataceae/Pseudotricholoma/metapodium;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;A2(c)+4(c)
Psilota atra;(Fallén, 1817);furusotblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Psilota/atra;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i)b(iii)
Psychophora sabini;Kirby, 1824;polarmåler;Animalia/Arthropoda/Insecta/Lepidoptera/Geometridae/Psychophora/sabini;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;LC;
Pterocirrus nidarosiensis;Pleijel, 1987;;Animalia/Annelida/Polychaeta/Phyllodocida/Phyllodocidae/Pterocirrus/nidarosiensis;art;Leddormer;Fastlands-Norge med havområder;25 - 50 %;LC;
Pterocirrus slastnikovi;Annenkova, 1946;;Animalia/Annelida/Polychaeta/Phyllodocida/Phyllodocidae/Pterocirrus/slastnikovi;art;Leddormer;Fastlands-Norge med havområder;25 - 50 %;LC;
Ptiolina oculata;(Becker, 1900);nordlig småsnipeflue;Animalia/Arthropoda/Insecta/Diptera/Rhagionidae/Ptiolina/oculata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Ptychoptera hugoi;Tjeder, 1968;;Animalia/Arthropoda/Insecta/Diptera/Ptychopteridae/Ptychoptera/hugoi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Ptychostomum calophyllum;(R.Br.) J.R.Spence;holtannvrangmose;Plantae/Bryophyta/Bryopsida/Bryales/Bryaceae/Ptychostomum/calophyllum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Ptychostomum cryophilum;(Mårtensson) J.R.Spence;rosevrangmose;Plantae/Bryophyta/Bryopsida/Bryales/Bryaceae/Ptychostomum/cryophilum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;C1+2a(i)
Ptychostomum demissum;(Hook.) Holyoak & N.Pedersen;rødkrylmose;Plantae/Bryophyta/Bryopsida/Bryales/Bryaceae/Ptychostomum/demissum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Puccinellia capillaris;(Lilj.) Jansen;taresaltgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Puccinellia/capillaris;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Puccinellia coarctata;Fernald & Weath.;vrangsaltgras;Plantae/Magnoliophyta/Monocots/Poales/Poaceae/Puccinellia/coarctata;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pyrola grandiflora;Radius;polarvintergrønn;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Pyrola/grandiflora;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Pyura tessellata;(Forbes, 1848);sjakkbrettsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Pyuridae/Pyura/tessellata;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Quedius pseudolimbatus;Strand, 1938;;Animalia/Arthropoda/Insecta/Coleoptera/Staphylinidae/Quedius/pseudolimbatus;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Racomitrium ellipticum;(Turner) Bruch & Schimp.;kulegråmose;Plantae/Bryophyta/Bryopsida/Grimmiales/Grimmiaceae/Racomitrium/ellipticum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Racomitrium obtusum;(Brid.) Brid.;kystgråmose;Plantae/Bryophyta/Bryopsida/Grimmiales/Grimmiaceae/Racomitrium/obtusum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Ramalina thrausta;(Ach.) Nyl.;trådragg;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Ramalinaceae/Ramalina/thrausta;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;A2(a,c)+4(c)
Ramaria aurea;(Schaeff. : Fr.) Quél.;;Fungi/Basidiomycota/Agaricomycetes/Gomphales/Gomphaceae/Ramaria/aurea;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Ramaria conjunctipes;(Coker) Corner;;Fungi/Basidiomycota/Agaricomycetes/Gomphales/Gomphaceae/Ramaria/conjunctipes;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C2a(i)
Ramaria strasseri;(Bres.) Corner;;Fungi/Basidiomycota/Agaricomycetes/Gomphales/Gomphaceae/Ramaria/strasseri;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;"B2a(i)b(ii,iii); C2a(i)"
Ramaria subtilis;(Coker) Schild;;Fungi/Basidiomycota/Agaricomycetes/Gomphales/Gomphaceae/Ramaria/subtilis;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;C1
Ranunculus confervoides;(Fr.) Fr.;dvergvassoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/confervoides;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Ranunculus glacialis;L.;issoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/glacialis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A3(c,e)
Ranunculus hyperboreus;Rottb.;sumpsoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/hyperboreus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;A2(b)
Ranunculus pygmaeus;Wahlenb.;dvergsoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/pygmaeus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Ranunculus subborealis;Tzvelev;taigasoleie;Plantae/Magnoliophyta/Eudicots/Ranunculales/Ranunculaceae/Ranunculus/subborealis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Reinhardtius hippoglossoides;(Walbaum, 1792);blåkveite;Animalia/Chordata/Actinopterygii/Pleuronectiformes/Pleuronectidae/Reinhardtius/hippoglossoides;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Rhabdoweisia crenulata;(Mitt.) H.Jameson;butturnemose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Rhabdoweisia/crenulata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;D1
